type,native,android,symbol,unicode,utf-8,description
transport and map symbols,🚭,🚭,🚭,U+1F6AD,\xF0\x9F\x9A\xAD,no smoking symbol
transport and map symbols,🚲,🚲,🚲,U+1F6B2,\xF0\x9F\x9A\xB2,bicycle
transport and map symbols,🚶,🚶,🚶,U+1F6B6,\xF0\x9F\x9A\xB6,pedestrian
transport and map symbols,🚹,🚹,🚹,U+1F6B9,\xF0\x9F\x9A\xB9,mens symbol
transport and map symbols,🚺,🚺,🚺,U+1F6BA,\xF0\x9F\x9A\xBA,womens symbol
transport and map symbols,🚻,🚻,🚻,U+1F6BB,\xF0\x9F\x9A\xBB,restroom
transport and map symbols,🚼,🚼,🚼,U+1F6BC,\xF0\x9F\x9A\xBC,baby symbol
transport and map symbols,🚽,🚽,🚽,U+1F6BD,\xF0\x9F\x9A\xBD,toilet
transport and map symbols,🚾,🚾,🚾,U+1F6BE,\xF0\x9F\x9A\xBE,water closet
transport and map symbols,🛀,🛀,🛀,U+1F6C0,\xF0\x9F\x9B\x80,bath
transport and map symbols,🚁,🚁,🚁,U+1F681,\xF0\x9F\x9A\x81,helicopter
transport and map symbols,🚂,🚂,🚂,U+1F682,\xF0\x9F\x9A\x82,steam locomotive
transport and map symbols,🚆,🚆,🚆,U+1F686,\xF0\x9F\x9A\x86,train
transport and map symbols,🚈,🚈,🚈,U+1F688,\xF0\x9F\x9A\x88,light rail
transport and map symbols,🚊,🚊,🚊,U+1F68A,\xF0\x9F\x9A\x8A,tram
transport and map symbols,🚍,🚍,🚍,U+1F68D,\xF0\x9F\x9A\x8D,oncoming bus
transport and map symbols,🚎,🚎,🚎,U+1F68E,\xF0\x9F\x9A\x8E,trolleybus
transport and map symbols,🚐,🚐,🚐,U+1F690,\xF0\x9F\x9A\x90,minibus
transport and map symbols,🚔,🚔,🚔,U+1F694,\xF0\x9F\x9A\x94,oncoming police car
transport and map symbols,🚖,🚖,🚖,U+1F696,\xF0\x9F\x9A\x96,oncoming taxi
transport and map symbols,🚘,🚘,🚘,U+1F698,\xF0\x9F\x9A\x98,oncoming automobile
transport and map symbols,🚛,🚛,🚛,U+1F69B,\xF0\x9F\x9A\x9B,articulated lorry
transport and map symbols,🚜,🚜,🚜,U+1F69C,\xF0\x9F\x9A\x9C,tractor
transport and map symbols,🚝,🚝,🚝,U+1F69D,\xF0\x9F\x9A\x9D,monorail
transport and map symbols,🚞,🚞,🚞,U+1F69E,\xF0\x9F\x9A\x9E,mountain railway
transport and map symbols,🚟,🚟,🚟,U+1F69F,\xF0\x9F\x9A\x9F,suspension railway
transport and map symbols,🚠,🚠,🚠,U+1F6A0,\xF0\x9F\x9A\xA0,mountain cableway
transport and map symbols,🚡,🚡,🚡,U+1F6A1,\xF0\x9F\x9A\xA1,aerial tramway
transport and map symbols,🚣,🚣,🚣,U+1F6A3,\xF0\x9F\x9A\xA3,rowboat
transport and map symbols,🚦,🚦,🚦,U+1F6A6,\xF0\x9F\x9A\xA6,vertical traffic light
transport and map symbols,🚮,🚮,🚮,U+1F6AE,\xF0\x9F\x9A\xAE,put litter in its place symbol
transport and map symbols,🚯,🚯,🚯,U+1F6AF,\xF0\x9F\x9A\xAF,do not litter symbol
transport and map symbols,🚰,🚰,🚰,U+1F6B0,\xF0\x9F\x9A\xB0,potable water symbol
transport and map symbols,🚱,🚱,🚱,U+1F6B1,\xF0\x9F\x9A\xB1,non-potable water symbol
transport and map symbols,🚳,🚳,🚳,U+1F6B3,\xF0\x9F\x9A\xB3,no bicycles
transport and map symbols,🚴,🚴,🚴,U+1F6B4,\xF0\x9F\x9A\xB4,bicyclist
transport and map symbols,🚵,🚵,🚵,U+1F6B5,\xF0\x9F\x9A\xB5,mountain bicyclist
transport and map symbols,🚷,🚷,🚷,U+1F6B7,\xF0\x9F\x9A\xB7,no pedestrians
transport and map symbols,🚸,🚸,🚸,U+1F6B8,\xF0\x9F\x9A\xB8,children crossing
transport and map symbols,🚿,🚿,🚿,U+1F6BF,\xF0\x9F\x9A\xBF,shower
transport and map symbols,🛁,🛁,🛁,U+1F6C1,\xF0\x9F\x9B\x81,bathtub
transport and map symbols,🛂,🛂,🛂,U+1F6C2,\xF0\x9F\x9B\x82,passport control
transport and map symbols,🛃,🛃,🛃,U+1F6C3,\xF0\x9F\x9B\x83,customs
transport and map symbols,🛄,🛄,🛄,U+1F6C4,\xF0\x9F\x9B\x84,baggage claim
transport and map symbols,🛅,🛅,🛅,U+1F6C5,\xF0\x9F\x9B\x85,left luggage
enclosed characters,Ⓜ,Ⓜ,Ⓜ,U+24C2,\xE2\x93\x82,circled latin capital letter m
enclosed characters,🅰,🅰,🅰,U+1F170,\xF0\x9F\x85\xB0,negative squared latin capital letter a
enclosed characters,🅱,🅱,🅱,U+1F171,\xF0\x9F\x85\xB1,negative squared latin capital letter b
enclosed characters,🅾,🅾,🅾,U+1F17E,\xF0\x9F\x85\xBE,negative squared latin capital letter o
enclosed characters,🅿,🅿,🅿,U+1F17F,\xF0\x9F\x85\xBF,negative squared latin capital letter p
enclosed characters,🆎,🆎,🆎,U+1F18E,\xF0\x9F\x86\x8E,negative squared ab
enclosed characters,🆑,🆑,🆑,U+1F191,\xF0\x9F\x86\x91,squared cl
enclosed characters,🆒,🆒,🆒,U+1F192,\xF0\x9F\x86\x92,squared cool
enclosed characters,🆓,🆓,🆓,U+1F193,\xF0\x9F\x86\x93,squared free
enclosed characters,🆔,🆔,🆔,U+1F194,\xF0\x9F\x86\x94,squared id
enclosed characters,🆕,🆕,🆕,U+1F195,\xF0\x9F\x86\x95,squared new
enclosed characters,🆖,🆖,🆖,U+1F196,\xF0\x9F\x86\x96,squared ng
enclosed characters,🆗,🆗,🆗,U+1F197,\xF0\x9F\x86\x97,squared ok
enclosed characters,🆘,🆘,🆘,U+1F198,\xF0\x9F\x86\x98,squared sos
enclosed characters,🆙,🆙,🆙,U+1F199,\xF0\x9F\x86\x99,squared up with exclamation mark
enclosed characters,🆚,🆚,🆚,U+1F19A,\xF0\x9F\x86\x9A,squared vs
enclosed characters,🇩🇪,🇩🇪,🇩🇪,U+1F1E9 U+1F1EA,\xF0\x9F\x87\xA9\xF0\x9F\x87\xAA,regional indicator symbol letter d + regional indicator symbol letter e
enclosed characters,🇬🇧,🇬🇧,🇬🇧,U+1F1EC U+1F1E7,\xF0\x9F\x87\xAC\xF0\x9F\x87\xA7,regional indicator symbol letter g + regional indicator symbol letter b
enclosed characters,🇨🇳,🇨🇳,🇨🇳,U+1F1E8 U+1F1F3,\xF0\x9F\x87\xA8\xF0\x9F\x87\xB3,regional indicator symbol letter c + regional indicator symbol letter n
enclosed characters,🇯🇵,🇯🇵,🇯🇵,U+1F1EF U+1F1F5,\xF0\x9F\x87\xAF\xF0\x9F\x87\xB5,regional indicator symbol letter j + regional indicator symbol letter p
enclosed characters,🇫🇷,🇫🇷,🇫🇷,U+1F1EB U+1F1F7,\xF0\x9F\x87\xAB\xF0\x9F\x87\xB7,regional indicator symbol letter f + regional indicator symbol letter r
enclosed characters,🇰🇷,🇰🇷,🇰🇷,U+1F1F0 U+1F1F7,\xF0\x9F\x87\xB0\xF0\x9F\x87\xB7,regional indicator symbol letter k + regional indicator symbol letter r
enclosed characters,🇪🇸,🇪🇸,🇪🇸,U+1F1EA U+1F1F8,\xF0\x9F\x87\xAA\xF0\x9F\x87\xB8,regional indicator symbol letter e + regional indicator symbol letter s
enclosed characters,🇮🇹,🇮🇹,🇮🇹,U+1F1EE U+1F1F9,\xF0\x9F\x87\xAE\xF0\x9F\x87\xB9,regional indicator symbol letter i + regional indicator symbol letter t
enclosed characters,🇷🇺,🇷🇺,🇷🇺,U+1F1F7 U+1F1FA,\xF0\x9F\x87\xB7\xF0\x9F\x87\xBA,regional indicator symbol letter r + regional indicator symbol letter u
enclosed characters,🇺🇸,🇺🇸,🇺🇸,U+1F1FA U+1F1F8,\xF0\x9F\x87\xBA\xF0\x9F\x87\xB8,regional indicator symbol letter u + regional indicator symbol letter s
enclosed characters,🈁,🈁,🈁,U+1F201,\xF0\x9F\x88\x81,squared katakana koko
enclosed characters,🈂,🈂,🈂,U+1F202,\xF0\x9F\x88\x82,squared katakana sa
enclosed characters,🈚,🈚,🈚,U+1F21A,\xF0\x9F\x88\x9A,squared cjk unified ideograph-7121
enclosed characters,🈯,🈯,🈯,U+1F22F,\xF0\x9F\x88\xAF,squared cjk unified ideograph-6307
enclosed characters,🈲,🈲,🈲,U+1F232,\xF0\x9F\x88\xB2,squared cjk unified ideograph-7981
enclosed characters,🈳,🈳,🈳,U+1F233,\xF0\x9F\x88\xB3,squared cjk unified ideograph-7a7a
enclosed characters,🈴,🈴,🈴,U+1F234,\xF0\x9F\x88\xB4,squared cjk unified ideograph-5408
enclosed characters,🈵,🈵,🈵,U+1F235,\xF0\x9F\x88\xB5,squared cjk unified ideograph-6e80
enclosed characters,🈶,🈶,🈶,U+1F236,\xF0\x9F\x88\xB6,squared cjk unified ideograph-6709
enclosed characters,🈷,🈷,🈷,U+1F237,\xF0\x9F\x88\xB7,squared cjk unified ideograph-6708
enclosed characters,🈸,🈸,🈸,U+1F238,\xF0\x9F\x88\xB8,squared cjk unified ideograph-7533
enclosed characters,🈹,🈹,🈹,U+1F239,\xF0\x9F\x88\xB9,squared cjk unified ideograph-5272
enclosed characters,🈺,🈺,🈺,U+1F23A,\xF0\x9F\x88\xBA,squared cjk unified ideograph-55b6
enclosed characters,🉐,🉐,🉐,U+1F250,\xF0\x9F\x89\x90,circled ideograph advantage
enclosed characters,🉑,🉑,🉑,U+1F251,\xF0\x9F\x89\x91,circled ideograph accept
uncategorized,©,©,©,U+00A9,\xC2\xA9,copyright sign
uncategorized,®,®,®,U+00AE,\xC2\xAE,registered sign
uncategorized,‼,‼,‼,U+203C,\xE2\x80\xBC,double exclamation mark
uncategorized,⁉,⁉,⁉,U+2049,\xE2\x81\x89,exclamation question mark
uncategorized,#⃣,#⃣,#⃣,U+0023 U+20E3,\x23\xE2\x83\xA3,number sign + combining enclosing keycap
uncategorized,8⃣,8⃣,8⃣,U+0038 U+20E3,\x38\xE2\x83\xA3,digit eight + combining enclosing keycap
uncategorized,9⃣,9⃣,9⃣,U+0039 U+20E3,\x39\xE2\x83\xA3,digit nine + combining enclosing keycap
uncategorized,7⃣,7⃣,7⃣,U+0037 U+20E3,\x37\xE2\x83\xA3,digit seven + combining enclosing keycap
uncategorized,0⃣,0⃣,0⃣,U+0030 U+20E3,\x30\xE2\x83\xA3,digit zero + combining enclosing keycap
uncategorized,6⃣,6⃣,6⃣,U+0036 U+20E3,\x36\xE2\x83\xA3,digit six + combining enclosing keycap
uncategorized,5⃣,5⃣,5⃣,U+0035 U+20E3,\x35\xE2\x83\xA3,digit five + combining enclosing keycap
uncategorized,4⃣,4⃣,4⃣,U+0034 U+20E3,\x34\xE2\x83\xA3,digit four + combining enclosing keycap
uncategorized,3⃣,3⃣,3⃣,U+0033 U+20E3,\x33\xE2\x83\xA3,digit three + combining enclosing keycap
uncategorized,2⃣,2⃣,2⃣,U+0032 U+20E3,\x32\xE2\x83\xA3,digit two + combining enclosing keycap
uncategorized,1⃣,1⃣,1⃣,U+0031 U+20E3,\x31\xE2\x83\xA3,digit one + combining enclosing keycap
uncategorized,™,™,™,U+2122,\xE2\x84\xA2,trade mark sign
uncategorized,ℹ,ℹ,ℹ,U+2139,\xE2\x84\xB9,information source
uncategorized,↔,↔,↔,U+2194,\xE2\x86\x94,left right arrow
uncategorized,↕,↕,↕,U+2195,\xE2\x86\x95,up down arrow
uncategorized,↖,↖,↖,U+2196,\xE2\x86\x96,north west arrow
uncategorized,↗,↗,↗,U+2197,\xE2\x86\x97,north east arrow
uncategorized,↘,↘,↘,U+2198,\xE2\x86\x98,south east arrow
uncategorized,↙,↙,↙,U+2199,\xE2\x86\x99,south west arrow
uncategorized,↩,↩,↩,U+21A9,\xE2\x86\xA9,leftwards arrow with hook
uncategorized,↪,↪,↪,U+21AA,\xE2\x86\xAA,rightwards arrow with hook
uncategorized,⌚,⌚,⌚,U+231A,\xE2\x8C\x9A,watch
uncategorized,⌛,⌛,⌛,U+231B,\xE2\x8C\x9B,hourglass
uncategorized,⏩,⏩,⏩,U+23E9,\xE2\x8F\xA9,black right-pointing double triangle
uncategorized,⏪,⏪,⏪,U+23EA,\xE2\x8F\xAA,black left-pointing double triangle
uncategorized,⏫,⏫,⏫,U+23EB,\xE2\x8F\xAB,black up-pointing double triangle
uncategorized,⏬,⏬,⏬,U+23EC,\xE2\x8F\xAC,black down-pointing double triangle
uncategorized,⏰,⏰,⏰,U+23F0,\xE2\x8F\xB0,alarm clock
uncategorized,⏳,⏳,⏳,U+23F3,\xE2\x8F\xB3,hourglass with flowing sand
uncategorized,▪,▪,▪,U+25AA,\xE2\x96\xAA,black small square
uncategorized,▫,▫,▫,U+25AB,\xE2\x96\xAB,white small square
uncategorized,▶,▶,▶,U+25B6,\xE2\x96\xB6,black right-pointing triangle
uncategorized,◀,◀,◀,U+25C0,\xE2\x97\x80,black left-pointing triangle
uncategorized,◻,◻,◻,U+25FB,\xE2\x97\xBB,white medium square
uncategorized,◼,◼,◼,U+25FC,\xE2\x97\xBC,black medium square
uncategorized,◽,◽,◽,U+25FD,\xE2\x97\xBD,white medium small square
uncategorized,◾,◾,◾,U+25FE,\xE2\x97\xBE,black medium small square
uncategorized,☀,☀,☀,U+2600,\xE2\x98\x80,black sun with rays
uncategorized,☁,☁,☁,U+2601,\xE2\x98\x81,cloud
uncategorized,☎,☎,☎,U+260E,\xE2\x98\x8E,black telephone
uncategorized,☑,☑,☑,U+2611,\xE2\x98\x91,ballot box with check
uncategorized,☔,☔,☔,U+2614,\xE2\x98\x94,umbrella with rain drops
uncategorized,☕,☕,☕,U+2615,\xE2\x98\x95,hot beverage
uncategorized,☝,☝,☝,U+261D,\xE2\x98\x9D,white up pointing index
uncategorized,☺,☺,☺,U+263A,\xE2\x98\xBA,white smiling face
uncategorized,♈,♈,♈,U+2648,\xE2\x99\x88,aries
uncategorized,♉,♉,♉,U+2649,\xE2\x99\x89,taurus
uncategorized,♊,♊,♊,U+264A,\xE2\x99\x8A,gemini
uncategorized,♋,♋,♋,U+264B,\xE2\x99\x8B,cancer
uncategorized,♌,♌,♌,U+264C,\xE2\x99\x8C,leo
uncategorized,♍,♍,♍,U+264D,\xE2\x99\x8D,virgo
uncategorized,♎,♎,♎,U+264E,\xE2\x99\x8E,libra
uncategorized,♏,♏,♏,U+264F,\xE2\x99\x8F,scorpius
uncategorized,♐,♐,♐,U+2650,\xE2\x99\x90,sagittarius
uncategorized,♑,♑,♑,U+2651,\xE2\x99\x91,capricorn
uncategorized,♒,♒,♒,U+2652,\xE2\x99\x92,aquarius
uncategorized,♓,♓,♓,U+2653,\xE2\x99\x93,pisces
uncategorized,♠,♠,♠,U+2660,\xE2\x99\xA0,black spade suit
uncategorized,♣,♣,♣,U+2663,\xE2\x99\xA3,black club suit
uncategorized,♥,♥,♥,U+2665,\xE2\x99\xA5,black heart suit
uncategorized,♦,♦,♦,U+2666,\xE2\x99\xA6,black diamond suit
uncategorized,♨,♨,♨,U+2668,\xE2\x99\xA8,hot springs
uncategorized,♻,♻,♻,U+267B,\xE2\x99\xBB,black universal recycling symbol
uncategorized,♿,♿,♿,U+267F,\xE2\x99\xBF,wheelchair symbol
uncategorized,⚓,⚓,⚓,U+2693,\xE2\x9A\x93,anchor
uncategorized,⚠,⚠,⚠,U+26A0,\xE2\x9A\xA0,warning sign
uncategorized,⚡,⚡,⚡,U+26A1,\xE2\x9A\xA1,high voltage sign
uncategorized,⚪,⚪,⚪,U+26AA,\xE2\x9A\xAA,medium white circle
uncategorized,⚫,⚫,⚫,U+26AB,\xE2\x9A\xAB,medium black circle
uncategorized,⚽,⚽,⚽,U+26BD,\xE2\x9A\xBD,soccer ball
uncategorized,⚾,⚾,⚾,U+26BE,\xE2\x9A\xBE,baseball
uncategorized,⛄,⛄,⛄,U+26C4,\xE2\x9B\x84,snowman without snow
uncategorized,⛅,⛅,⛅,U+26C5,\xE2\x9B\x85,sun behind cloud
uncategorized,⛎,⛎,⛎,U+26CE,\xE2\x9B\x8E,ophiuchus
uncategorized,⛔,⛔,⛔,U+26D4,\xE2\x9B\x94,no entry
uncategorized,⛪,⛪,⛪,U+26EA,\xE2\x9B\xAA,church
uncategorized,⛲,⛲,⛲,U+26F2,\xE2\x9B\xB2,fountain
