hex_codepoint,status,emoji,e_version,description,utf8_bytes,utf8_str,utf8_clean,unicode_bytes,unicode_str
1FA82,fully-qualified,🪂,E12.0,parachute,b'\xf0\x9f\xaa\x82',\xf0\x9f\xaa\x82,xf0x9fxaax82,b'\\U0001fa82',\\U0001fa82
1F4BA,fully-qualified,💺,E0.6,seat,b'\xf0\x9f\x92\xba',\xf0\x9f\x92\xba,xf0x9fx92xba,b'\\U0001f4ba',\\U0001f4ba
1F681,fully-qualified,🚁,E1.0,helicopter,b'\xf0\x9f\x9a\x81',\xf0\x9f\x9a\x81,xf0x9fx9ax81,b'\\U0001f681',\\U0001f681
1F69F,fully-qualified,🚟,E1.0,suspension railway,b'\xf0\x9f\x9a\x9f',\xf0\x9f\x9a\x9f,xf0x9fx9ax9f,b'\\U0001f69f',\\U0001f69f
1F6A0,fully-qualified,🚠,E1.0,mountain cableway,b'\xf0\x9f\x9a\xa0',\xf0\x9f\x9a\xa0,xf0x9fx9axa0,b'\\U0001f6a0',\\U0001f6a0
1F6A1,fully-qualified,🚡,E1.0,aerial tramway,b'\xf0\x9f\x9a\xa1',\xf0\x9f\x9a\xa1,xf0x9fx9axa1,b'\\U0001f6a1',\\U0001f6a1
1F6F0 FE0F,fully-qualified,🛰️,E0.7,satellite,b'\xf0\x9f\x9b\xb0\xef\xb8\x8f',\xf0\x9f\x9b\xb0\xef\xb8\x8f,xf0x9fx9bxb0xefxb8x8f,b'\\U0001f6f0\\ufe0f',\\U0001f6f0\\ufe0f
1F6F0,unqualified,🛰,E0.7,satellite,b'\xf0\x9f\x9b\xb0',\xf0\x9f\x9b\xb0,xf0x9fx9bxb0,b'\\U0001f6f0',\\U0001f6f0
1F680,fully-qualified,🚀,E0.6,rocket,b'\xf0\x9f\x9a\x80',\xf0\x9f\x9a\x80,xf0x9fx9ax80,b'\\U0001f680',\\U0001f680
1F6F8,fully-qualified,🛸,E5.0,flying saucer,b'\xf0\x9f\x9b\xb8',\xf0\x9f\x9b\xb8,xf0x9fx9bxb8,b'\\U0001f6f8',\\U0001f6f8
1F6CE FE0F,fully-qualified,🛎️,E0.7,bellhop bell,b'\xf0\x9f\x9b\x8e\xef\xb8\x8f',\xf0\x9f\x9b\x8e\xef\xb8\x8f,xf0x9fx9bx8exefxb8x8f,b'\\U0001f6ce\\ufe0f',\\U0001f6ce\\ufe0f
1F6CE,unqualified,🛎,E0.7,bellhop bell,b'\xf0\x9f\x9b\x8e',\xf0\x9f\x9b\x8e,xf0x9fx9bx8e,b'\\U0001f6ce',\\U0001f6ce
